Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Venue Country,Match Type,MOM,Year,MOM_Won
16,57.0,17,2,0,94.11,3,caught,1,v West Indies,Brabourne,2018-10-29,India,ODI,No,2018,0
33,57.0,29,6,0,113.79,3,not out,2,v West Indies,Thiruvananthapuram,2018-01-11,India,ODI,No,2018,0
3,10.0,8,0,0,37.5,3,caught,2,v Australia,Sydney,2019-12-01,Australia,ODI,No,2019,0
104,150.0,112,5,2,92.85,3,caught,2,v Australia,Adelaide,2019-01-15,Australia,ODI,Yes,2019,1
46,59.0,62,3,0,74.19,3,caught,2,v Australia,Melbourne,2019-01-18,Australia,ODI,No,2019,0
45,59.0,59,3,0,76.27,3,caught,2,v New Zealand,Napier,2019-01-23,New Zealand,ODI,No,2019,0
43,59.0,45,5,0,95.55,3,caught,1,v New Zealand,Mount Maunganui,2019-01-26,New Zealand,ODI,No,2019,0
60,94.0,74,6,1,81.08,3,caught,2,v New Zealand,Mount Maunganui,2019-01-28,New Zealand,ODI,Yes,2019,1
44,94.0,45,6,1,97.77,3,lbw,2,v Australia,Hyderabad (Deccan),2019-02-03,India,ODI,No,2019,0
116,94.0,120,10,0,96.66,3,caught,1,v Australia,Nagpur,2019-05-03,India,ODI,Yes,2019,1
123,44.0,95,16,1,129.47,3,bowled,2,v Australia,Ranchi,2019-08-03,India,ODI,Yes,2019,1
7,44.0,6,1,0,116.66,4,caught,1,v Australia,Mohali,2019-10-03,India,ODI,No,2019,0
20,44.0,22,2,0,90.9,3,caught,2,v Australia,Delhi,2019-03-13,India,ODI,No,2019,0
18,44.0,34,1,0,52.94,3,caught,2,v South Africa,Southampton,2019-05-06,England,ODI,No,2019,0
82,128.0,77,4,2,106.49,3,caught,1,v Australia,The Oval,2019-09-06,England,ODI,Yes,2019,1
77,105.0,65,7,0,118.46,3,caught,1,v Pakistan,Manchester,2019-06-16,England,ODI,Yes,2019,1
67,105.0,63,5,0,106.34,3,caught,1,v Afghanistan,Southampton,2019-06-22,England,ODI,Yes,2019,1
72,146.0,82,8,0,87.8,3,caught,1,v West Indies,Manchester,2019-06-27,England,ODI,Yes,2019,1
66,103.0,76,7,0,86.84,3,caught,2,v England,Birmingham,2019-06-30,England,ODI,Yes,2019,1
26,45.0,27,3,0,96.29,3,caught,1,v Bangladesh,Birmingham,2019-02-07,England,ODI,No,2019,0
34,61.0,41,3,0,82.92,3,not out,2,v Sri Lanka,Leeds,2019-06-07,England,ODI,No,2019,0
1,8.0,6,0,0,16.66,3,lbw,2,v New Zealand,Manchester,2019-09-07,England,ODI,No,2019,0
120,179.0,125,14,1,96.0,3,caught,1,v West Indies,Port of Spain,2019-11-08,West Indies,ODI,Yes,2019,1
114,127.0,99,14,0,115.15,3,not out,2,v West Indies,Port of Spain,2019-08-14,West Indies,ODI,Yes,2019,1
4,88.0,4,1,0,100.0,3,bowled,1,v West Indies,Chennai,2019-12-15,India,ODI,No,2019,0
0,88.0,1,0,0,0.0,3,caught,1,v West Indies,Visakhapatnam,2019-12-18,India,ODI,No,2019,0
85,58.0,81,9,0,104.93,3,bowled,2,v West Indies,Cuttack,2019-12-22,India,ODI,Yes,2019,1
16,88.0,14,0,1,114.28,4,caught,1,v Australia,Wankhede,2020-01-14,India,ODI,No,2020,0
78,56.0,76,6,0,102.63,3,caught,1,v Australia,Rajkot,2020-01-17,India,ODI,Yes,2020,1
89,88.0,91,8,0,97.8,3,bowled,2,v Australia,Bengaluru,2020-01-19,India,ODI,Yes,2020,1
51,88.0,63,6,0,80.95,3,bowled,1,v New Zealand,Hamilton,2020-05-02,New Zealand,ODI,Yes,2020,1
15,31.0,25,1,0,60.0,3,bowled,2,v New Zealand,Auckland,2020-08-02,New Zealand,ODI,No,2020,0
9,20.0,12,0,1,75.0,3,caught,1,v New Zealand,Mount Maunganui,2020-11-02,New Zealand,ODI,No,2020,0
21,45.0,21,2,1,100.0,3,caught,2,v Australia,Sydney,2020-11-27,Australia,ODI,No,2020,0
89,56.0,87,7,2,102.29,3,caught,2,v Australia,Sydney,2020-11-29,Australia,ODI,Yes,2020,1
63,68.0,78,5,0,80.76,3,caught,1,v Australia,Canberra,2020-02-12,Australia,ODI,Yes,2020,1
56,65.0,60,6,0,93.33,3,caught,1,v England,Pune,2021-03-23,India,ODI,Yes,2021,1
66,110.0,79,3,1,83.54,3,caught,1,v England,Pune,2021-03-26,India,ODI,Yes,2021,1
7,14.0,10,1,0,70.0,3,bowled,1,v England,Pune,2021-03-28,India,ODI,No,2021,0
51,79.0,63,3,0,80.95,3,caught,2,v South Africa,Paarl,2022-01-19,South Africa,ODI,Yes,2022,1
0,4.0,5,0,0,0.0,3,caught,1,v South Africa,Paarl,2022-01-21,South Africa,ODI,No,2022,0
65,112.0,84,5,0,77.38,3,caught,2,v South Africa,Cape Town,2022-01-23,South Africa,ODI,Yes,2022,1
8,6.0,4,2,0,200.0,3,caught,2,v West Indies,Ahmedabad,2022-06-02,India,ODI,No,2022,0
18,42.0,30,3,0,60.0,3,caught,1,v West Indies,Ahmedabad,2022-09-02,India,ODI,No,2022,0
0,2.0,2,0,0,0.0,3,caught,1,v West Indies,Ahmedabad,2022-11-02,India,ODI,No,2022,0
16,39.0,25,3,0,64.0,3,caught,2,v England,Lord's,2022-07-14,England,ODI,No,2022,0
17,27.0,22,3,0,77.27,3,caught,2,v England,Manchester,2022-07-17,England,ODI,No,2022,0
