Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Venue Country,Match Type,MOM,Year,MOM_Won
11,16.0,9,2,0,122.22,3,caught,1,v New Zealand,Wellington,2020-01-31,New Zealand,T20I,No,2020,0
40,90.0,24,2,2,166.66,3,caught,2,v Australia,Sydney,2020-06-12,Australia,T20I,No,2020,0
85,88.0,61,4,3,139.34,3,caught,2,v Australia,Sydney,2020-08-12,Australia,T20I,Yes,2020,1
0,6.0,5,0,0,0.0,3,caught,1,v England,Ahmedabad,2021-12-03,India,T20I,No,2021,0
73,85.0,49,5,3,148.97,3,not out,2,v England,Ahmedabad,2021-03-14,India,T20I,Yes,2021,1
77,80.0,46,8,4,167.39,4,not out,1,v England,Ahmedabad,2021-03-16,India,T20I,Yes,2021,1
1,3.0,5,0,0,20.0,4,stumped,1,v England,Ahmedabad,2021-03-18,India,T20I,No,2021,0
80,103.0,52,7,2,153.84,2,not out,1,v England,Ahmedabad,2021-03-20,India,T20I,Yes,2021,1
57,94.0,49,5,1,116.32,3,caught,1,v Pakistan,Dubai (DSC),2021-10-24,UAE,T20I,Yes,2021,1
9,20.0,17,0,0,52.94,4,caught,1,v New Zealand,Dubai (DSC),2021-10-31,UAE,T20I,No,2021,0
2,7.0,2,0,0,100.0,3,not out,2,v Scotland,Dubai (DSC),2021-05-11,UAE,T20I,No,2021,0
17,25.0,13,1,0,130.76,3,caught,2,v West Indies,Eden Gardens,2022-02-16,India,T20I,No,2022,0
52,57.0,41,7,1,126.82,3,bowled,1,v West Indies,Eden Gardens,2022-02-18,India,T20I,Yes,2022,1
1,8.0,3,0,0,33.33,3,caught,1,v England,Birmingham,2022-09-07,England,T20I,No,2022,0
11,8.0,6,1,1,183.33,3,caught,2,v England,Nottingham,2022-10-07,England,T20I,No,2022,0
35,47.0,34,3,1,102.94,3,caught,2,v Pakistan,Dubai (DSC),2022-08-28,UAE,T20I,No,2022,0
59,74.0,44,1,3,134.09,3,not out,1,v Hong Kong,Dubai (DSC),2022-08-31,UAE,T20I,Yes,2022,1
60,77.0,44,4,1,136.36,3,run out,1,v Pakistan,Dubai (DSC),2022-04-09,UAE,T20I,Yes,2022,1
0,6.0,4,0,0,0.0,3,bowled,1,v Sri Lanka,Dubai (DSC),2022-06-09,UAE,T20I,No,2022,0
122,90.0,61,12,6,200.0,2,not out,1,v Afghanistan,Dubai (DSC),2022-08-09,UAE,T20I,Yes,2022,1
2,12.0,7,0,0,28.57,3,caught,1,v Australia,Mohali,2022-09-20,India,T20I,No,2022,0
11,67.0,6,2,0,183.33,3,bowled,2,v Australia,Nagpur,2022-09-23,India,T20I,No,2022,0
63,89.0,48,3,4,131.25,3,caught,2,v Australia,Hyderabad (Deccan),2022-09-25,India,T20I,Yes,2022,1
3,19.0,9,0,0,33.33,3,caught,2,v South Africa,Thiruvananthapuram,2022-09-28,India,T20I,No,2022,0
49,56.0,28,7,1,175.0,3,not out,1,v South Africa,Guwahati,2022-02-10,India,T20I,No,2022,0
82,98.0,53,6,4,154.71,3,not out,2,v Pakistan,Melbourne,2022-10-23,Australia,T20I,Yes,2022,1
62,79.0,44,3,2,140.9,3,not out,1,v Netherlands,Sydney,2022-10-27,Australia,T20I,Yes,2022,1
12,13.0,11,2,0,109.09,3,caught,1,v South Africa,Perth,2022-10-30,Australia,T20I,No,2022,0
64,84.0,44,8,1,145.45,3,not out,1,v Bangladesh,Adelaide,2022-02-11,Australia,T20I,Yes,2022,1
26,36.0,25,2,0,104.0,3,caught,1,v Zimbabwe,Melbourne,2022-06-11,Australia,T20I,No,2022,0
4,13.0,10,1,0,40.0,5,caught,1,v West Indies,Kingston,2011-06-20,West Indies,Test,No,2011,0
15,72.0,54,2,0,27.77,5,caught,3,v West Indies,Kingston,2011-06-20,West Indies,Test,No,2011,0
0,1.0,2,0,0,0.0,5,caught,1,v West Indies,Bridgetown,2011-06-28,West Indies,Test,No,2011,0
27,118.0,107,1,1,25.23,5,caught,3,v West Indies,Bridgetown,2011-06-28,West Indies,Test,No,2011,0
30,62.0,53,2,0,56.6,5,caught,2,v West Indies,Roseau,2011-06-07,West Indies,Test,No,2011,0
52,154.0,111,5,0,46.84,6,caught,2,v West Indies,Wankhede,2011-11-22,India,Test,No,2011,0
63,136.0,114,3,1,55.26,6,caught,4,v West Indies,Wankhede,2011-11-22,India,Test,No,2011,0
11,28.0,21,1,0,52.38,7,caught,2,v Australia,Melbourne,2011-12-26,Australia,Test,No,2011,0
